mode,batch,rep,frac,auc_ref,auc_cur,auc_drop,ks,psi,wasserstein,jensen_shannon,mmd,c2st,alarm_ks,alarm_psi,alarm_wasserstein,alarm_jensen_shannon,alarm_mmd,alarm_c2st,harm
sudden,6,4,1.0,0.8693774998497157,0.7114018971895685,0.1579756026601472,0.46559998393058777,6.233722978589312,20.785529698444687,0.8254876223581347,0.012505948543548584,0.49988994140625,1,1,1,1,1,1,1
gradual,6,4,0.75,0.8693774998497157,0.7257831352437517,0.14359436460596398,0.4598499834537506,5.883007353730981,15.55838109274051,0.8057325827266508,0.005240142345428467,0.49985791015625003,1,1,1,1,1,1,1
sudden,7,4,1.0,0.8693774998497157,0.7233749412687769,0.1460025585809388,0.46619999408721924,6.331679688256898,20.861293324068942,0.8288716095916264,0.012630283832550049,0.4999066406249999,1,1,1,1,1,1,1
gradual,7,4,0.875,0.8693774998497157,0.7213506385167344,0.14802686133298126,0.4645499885082245,6.094754341186151,18.13383615500981,0.8185924881474762,0.008475184440612793,0.4997721679687499,1,1,1,1,1,1,1
sudden,8,4,1.0,0.8693774998497157,0.7184407344938166,0.15093676535589906,0.46309998631477356,6.256582008989209,20.702077859787458,0.8266084442562383,0.012265801429748535,0.4999022460937501,1,1,1,1,1,1,1
gradual,8,4,1.0,0.8693774998497157,0.718929187251105,0.1504483125986107,0.4671814739704132,6.353711648139515,20.772400877407122,0.8293697241676705,0.013490915298461914,0.49988623046875,1,1,1,1,1,1,1
sudden,1,5,1.0,0.8488898586559811,0.7246244258930756,0.12426543276290547,0.46424999833106995,6.187867981046691,19.70743858248228,0.8204768174391082,0.009614109992980957,0.49989042968749997,1,1,1,1,1,1,1
gradual,1,5,0.125,0.8488898586559811,0.784548436604779,0.06434142205120208,0.43807464838027954,3.38353929724842,2.3468398741138516,0.6175484776552148,-1.531839370727539e-05,0.49980625,1,1,1,1,0,1,1
sudden,2,5,1.0,0.8488898586559811,0.7117179064415077,0.13717195221447342,0.4630766808986664,6.200501557283135,19.491352842527313,0.8229614678565154,0.00997990369796753,0.49993828125000006,1,1,1,1,1,1,1
gradual,2,5,0.25,0.8488898586559811,0.7692591104895526,0.07963074816642846,0.4331766963005066,4.3975659752409015,4.739425380215241,0.709317030047072,-9.179115295410156e-06,0.49982597656249994,1,1,1,1,0,1,1
sudden,3,5,1.0,0.8488898586559811,0.7309343257198122,0.1179555329361689,0.4619499742984772,6.174823002896338,19.508653697175944,0.8199708946324046,0.009206056594848633,0.49992578125,1,1,1,1,1,1,1
gradual,3,5,0.375,0.8488898586559811,0.7532357589130673,0.09565409974291383,0.44359999895095825,4.955663132968384,7.1248945810648765,0.7463492396698947,0.00013405084609985352,0.49979599609375003,1,1,1,1,0,1,1
sudden,4,5,1.0,0.8488898586559811,0.7300332368608056,0.11885662179517553,0.4580499827861786,6.13488141260205,19.464458747299005,0.820026444133264,0.009422779083251953,0.49996435546874995,1,1,1,1,1,1,1
