rep,auc_ref,auc_cur,auc_drop,segment_auc_drop,ks,psi,wasserstein,jensen_shannon,mmd,c2st
129,0.8588402251208278,0.8502549373088725,0.008585287811955333,0.10966390153534289,0.020535945892333984,0.0044547608273116344,0.45659999999997364,0.04386525257667405,-3.2961368560791016e-05,-0.003992871093750017
130,0.8565951936952668,0.8587408819116079,-0.0021456882163410906,0.15907370305182744,0.03556162118911743,0.00800635143653699,0.27474999999998195,0.0601171284548832,-0.00024068355560302734,0.010389550781249923
131,0.8481843156091201,0.843538179153181,0.004646136455939143,0.054679115555349544,0.0273800790309906,0.007951697368628568,0.4584499999999759,0.05329252126871026,0.00017720460891723633,-0.01216044921874998
132,0.8652573526573033,0.8504476124575082,0.014809740199795085,-0.005790003861310455,0.027281105518341064,0.007255464839360292,0.24444273254089569,0.05562300321202989,-0.00015938282012939453,-0.007064648437499987
133,0.8560765426868608,0.8686176781087498,-0.01254113542188895,0.05484528473678396,0.028536319732666016,0.007515254171838446,0.4312999999999822,0.06343283253033062,-0.00012576580047607422,0.004008203125000054
134,0.847456400106225,0.8650643533209323,-0.017607953214707317,0.03204268581390923,0.04680997133255005,0.01664651680214177,0.3359102570536982,0.060938612100412674,-0.0001710653305053711,0.003078662109375019
135,0.8627351295317544,0.8578844727662263,0.004850656765528094,0.0751737925757765,0.02381587028503418,0.018270977070184036,0.6775999999999534,0.07099445362028563,2.6881694793701172e-05,-0.009229443359374978
136,0.8559934147820814,0.8597403094453812,-0.0037468946632998046,0.054933754885077235,0.02214730903506279,0.0055640430738696,0.4362499999999867,0.049728107314822814,-9.554624557495117e-05,0.0045696777343749995
137,0.852944440001316,0.8657252306058608,-0.012780790604544845,0.045855311904385854,0.047451555728912354,0.012924504798931003,0.45619999999998057,0.05855219194479302,8.946657180786133e-05,0.0029673828124999746
138,0.847104840384899,0.8592255857197549,-0.012120745334855965,0.004490694750765689,0.019553840160369873,0.005330430832145015,0.3350499999999753,0.05862176478193219,-0.00017458200454711914,-0.003472119140624952
139,0.8581409764966159,0.8575513250485302,0.0005896514480857595,0.08343837945591004,0.03131133317947388,0.013747039677642665,0.9490999999999796,0.06045999959022562,-6.687641143798828e-05,0.002211083984374973
140,0.8478647649567052,0.8726714722123818,-0.024806707255676685,0.04918173982039853,0.026188582181930542,0.009031426288027342,0.5192999999999695,0.05293658416018172,7.653236389160156e-05,-0.004204296875000013
141,0.8498981015313363,0.8603214354524424,-0.01042333392110617,-0.0526578507050488,0.049080729484558105,0.013840307386204035,0.6781499999999696,0.0572304142529123,-0.00011420249938964844,0.025000146484374985
