archetype,rep,expected_harm,expected_alarm,auc_ref,auc_cur,auc_drop,segment_auc_drop,segment_positive_share,ks,psi,wasserstein,jensen_shannon,mmd,c2st,harm,segment_harm,alarm_ks,alarm_psi,alarm_wasserstein,alarm_jensen_shannon,alarm_mmd,alarm_c2st
imputation_masked_null,14,True,quiet,0.847927041756995,0.800263352883871,0.047663688873124,,,0.029076755046844482,0.00615444413359844,0.7294191118258274,0.06425203005114825,0.006139636039733887,0.49988134765625014,1,0,0,0,0,0,1,1
imputation_visible,14,True,unknown,0.847927041756995,0.8013317188673774,0.04659532288961754,,,0.4504484534263611,3.7442168038927326,2.5878750000000106,0.7953478910319447,0.006490528583526611,0.49990957031249994,1,0,1,1,1,1,1,1
dilution_shift,14,True,quiet,0.847927041756995,0.8548422197960472,-0.006915178039052283,0.1748132891333377,0.41893830703012913,0.0445246696472168,0.03326375015253562,2.7049934933438653,0.07425336886701844,-0.00024187564849853516,0.019530810546875,0,1,1,1,1,1,0,1
dilution_permuted,14,True,quiet,0.847927041756995,0.8515608630797644,-0.0036338213227694593,0.41402784170405466,0.41893830703012913,0.021703481674194336,0.003743786900667293,0.6175499999999559,0.052138152932450776,-0.00022226572036743164,0.006900048828125005,0,1,0,0,0,0,0,0
irrelevant_feature_drift,14,False,fire,0.847927041756995,0.8605998309374381,-0.012672789180443123,,,1.0,17.65308635470642,32.77245262742788,0.9213359847890608,0.7125926613807678,0.5,0,0,1,1,1,1,1,1
sudden_shift,14,True,fire,0.847927041756995,0.7258929206520109,0.12203412110498402,,,0.4690132439136505,6.454285909725659,19.96254987033629,0.8381458930866634,0.011228740215301514,0.49989833984375,1,0,1,1,1,1,1,1
gradual_shift,14,True,unknown,0.847927041756995,0.7550633107557341,0.09286373100126089,,,0.4391893148422241,4.778492357582224,4.894138166496177,0.7303002426899108,-0.00019299983978271484,0.49979052734375007,1,0,1,1,1,1,0,1
true_null,15,False,quiet,0.8444785137864227,0.8489440358796762,-0.00446552209325346,,,0.03126460313796997,0.006785993236083288,0.4048695515094488,0.06030509687026444,0.00022983551025390625,0.001975927734375049,0,0,0,0,0,0,0,0
covariate_shift_mild,15,False,fire,0.8444785137864227,0.8433135285940258,0.001164985192396939,,,0.2536599636077881,0.29979258387963625,1.4094669806038589,0.23344756502800523,0.006988167762756348,0.15101621093749995,0,0,1,1,1,1,1,1
covariate_shift_moderate,15,False,fire,0.8444785137864227,0.8395198474850236,0.004958666301399073,,,0.51358562707901,1.2114291588618795,3.3095190469205327,0.4575259774497589,0.0326654314994812,0.2882553710937499,0,0,1,1,1,1,1,1
covariate_shift_strong,15,False,fire,0.8444785137864227,0.7929093053268658,0.051569208459556926,,,0.724315345287323,3.317874876300379,6.246792661795449,0.6834071863464736,0.06663393974304199,0.41185971679687494,1,0,1,1,1,1,1,1
concept_drift_no_covariate_shift,15,True,quiet,0.8444785137864227,0.5115323075352944,0.33294620625112825,,,0.03126460313796997,0.006785993236083288,0.4048695515094488,0.06030509687026444,0.00022983551025390625,0.001975927734375049,1,0,0,0,0,0,0,0
imputation_masked_null,15,True,quiet,0.8444785137864227,0.7838366214880312,0.06064189229839145,,,0.03126460313796997,0.00841591790417257,0.4048695515094488,0.06030509687026444,0.003823399543762207,0.4999121093750001,1,0,0,0,0,0,1,1
imputation_visible,15,True,unknown,0.8444785137864227,0.7863317889780737,0.05814672480834904,,,0.4513477683067322,3.7299486064963983,2.729350000000009,0.793885959213724,0.003631889820098877,0.4998537109375,1,0,1,1,1,1,1,1
dilution_shift,15,True,quiet,0.8444785137864227,0.8407558861949336,0.003722627591489114,0.2470385444638613,0.40942562592047127,0.046694666147232056,0.03539416472936443,1.9564437210623153,0.07211268627381864,0.0004495382308959961,0.02041308593750002,0,1,1,1,1,0,0,1
dilution_permuted,15,True,quiet,0.8444785137864227,0.8415798082759463,0.0028987055104764403,0.42064996588573,0.40942562592047127,0.03126460313796997,0.006785993236083288,0.4048695515094488,0.06030509687026444,0.00030517578125,0.01391669921874994,0,1,0,0,0,0,0,1
irrelevant_feature_drift,15,False,fire,0.8444785137864227,0.8489440358796762,-0.00446552209325346,,,1.0,18.42800796578809,7.401747850523893,0.9228597154571095,0.662376344203949,0.5,0,0,1,1,1,1,1,1
sudden_shift,15,True,fire,0.8444785137864227,0.7079355915358834,0.13654292225053932,,,0.46490001678466797,6.30319225112478,16.871628575409037,0.8227538906451127,0.013842463493347168,0.49991347656249996,1,0,1,1,1,1,1,1
gradual_shift,15,True,unknown,0.8444785137864227,0.7602668016570522,0.08421171212937051,,,0.4335423707962036,4.670794518513868,4.044131425003275,0.7274466466812114,0.0004533529281616211,0.49978134765624993,1,0,1,1,1,1,0,1
true_null,16,False,quiet,0.8537454247849315,0.852900688496174,0.000844736288757586,,,0.022423535585403442,0.006582835449935868,0.4314500000000576,0.05721409323234573,0.00013399124145507812,0.00642373046875,0,0,0,0,0,0,0,0
covariate_shift_mild,16,False,fire,0.8537454247849315,0.8444376456262582,0.009307779158673313,,,0.264419823884964,0.3283668539157984,1.3621073829874273,0.24361440276983298,0.0067778825759887695,0.143196875,0,0,1,1,1,1,1,1
covariate_shift_moderate,16,False,fire,0.8537454247849315,0.8303989330928877,0.023346491692043836,,,0.5217314958572388,1.2461243005722205,3.570390700413262,0.4644669179721327,0.031430602073669434,0.28305424804687496,1,0,1,1,1,1,1,1
covariate_shift_strong,16,False,fire,0.8537454247849315,0.8181788808873531,0.035566543897578407,,,0.734101414680481,3.5176063459663816,6.662885762954407,0.6944823827279647,0.06946581602096558,0.4146109375,1,0,1,1,1,1,1,1
concept_drift_no_covariate_shift,16,True,quiet,0.8537454247849315,0.5174896104600695,0.33625581432486207,,,0.022423535585403442,0.006582835449935868,0.4314500000000576,0.05721409323234573,0.00013399124145507812,0.00642373046875,1,0,0,0,0,0,0,0
imputation_masked_null,16,True,quiet,0.8537454247849315,0.79613754123807,0.05760788354686153,,,0.025679588317871094,0.011424884581954014,0.4314500000000576,0.061801138838030956,0.004649639129638672,0.4997513671875,1,0,0,0,0,0,1,1
imputation_visible,16,True,unknown,0.8537454247849315,0.7995985957110262,0.054146829073905334,,,0.451200008392334,3.715490489135702,2.644225000000005,0.7984101560760691,0.004508554935455322,0.4999107421875,1,0,1,1,1,1,1,1
dilution_shift,16,True,quiet,0.8537454247849315,0.8454888174798572,0.008256607305074382,0.17534012219456296,0.4047936085219707,0.03939042240381241,0.19416464517718401,1.8490229162857221,0.14918865066467193,0.00037932395935058594,0.024427099609375058,0,1,0,1,1,1,0,1
dilution_permuted,16,True,quiet,0.8537454247849315,0.8457529292856204,0.007992495499311136,0.3408806627351034,0.4047936085219707,0.022423535585403442,0.006582835449935868,0.4314500000000576,0.05721409323234573,0.0002929568290710449,0.012512353515624963,0,1,0,0,0,0,0,0
irrelevant_feature_drift,16,False,fire,0.8537454247849315,0.852900688496174,0.000844736288757586,,,1.0,17.342963664973592,3.64670315357016,0.9239983719504248,0.6620140671730042,0.5,0,0,1,1,1,1,1,1
sudden_shift,16,True,fire,0.8537454247849315,0.7143798916975577,0.13936553308737387,,,0.4685499966144562,6.320242254484531,14.922794802349637,0.8219766157010926,0.012486577033996582,0.49984306640625,1,0,1,1,1,1,1,1
gradual_shift,16,True,unknown,0.8537454247849315,0.7532791749639717,0.10046624982095986,,,0.4347947835922241,4.547775699556808,3.5873920280296088,0.7099227371896298,0.00029331445693969727,0.49974755859375,1,0,1,1,1,1,0,1
true_null,17,False,quiet,0.8585738826784557,0.8618091664407594,-0.0032352837623037534,,,0.024991512298583984,0.006590961803350321,0.40744999999996906,0.05102209951429073,0.00018024444580078125,-0.010638134765624974,0,0,0,0,0,0,0,0
